date,title,where,link
2021.05.06.,"미국, 백신 특허 포기 지지…""코로나 종식 우선""",MBC,https://imnews.imbc.com/replay/2021/nw930/article/6170257_34929.html
2021.05.04.,"""소화제 먹고도 죽는다"" 코로나 백신 불안 언론 탓한 與대변인",중앙일보언론사 선정,https://news.joins.com/article/olink/23644686
2021.05.06.,"미 무역대표부 ""코로나19 백신 지식재산권 면제 지지""",YTN,https://www.ytn.co.kr/_ln/0104_202105060441562560
2021.05.05.,"WHO “북한, 코로나19 백신 도입 위한 사전준비 진행”",KBS,https://news.kbs.co.kr/news/view.do?ncd=5178739&ref=A
2021.05.05.,"WHO “북한, 코로나19 백신 도입 위한 사전준비 진행”",KBS,https://news.kbs.co.kr/news/view.do?ncd=5178739&ref=A
2021.05.06.,"미국 행정부 ""코로나 백신 특허 일시 포기 지지"" 공식 발표",MBC,https://imnews.imbc.com/news/2021/world/article/6170157_34880.html
2021.05.06.,[따져보니] 美·中 '백신 패권' 다툼…코로나 종식에 영향은?,TV조선,http://news.tvchosun.com/site/data/html_dir/2021/05/06/2021050690128.html
2021.05.05.,"WHO “북한, 코로나 백신 공급위한 사전 준비 중”",경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105051440011&code=910303
2021.05.06.,"美 ""코로나 백신 지재권 면제 지지""…WTO ""논의 신속히 진행""",TV조선,http://news.tvchosun.com/site/data/html_dir/2021/05/06/2021050690120.html
2021.05.05.,"WHO 평양사무소장 ""북한, 코로나 백신 도입 위한 사전 준비 진행""",MBC,https://imnews.imbc.com/news/2021/world/article/6169449_34880.html
2021.05.05.,"국민 61.4% ""코로나19 백신 맞겠다""...3월보다 6.6%p 감소",YTN언론사 선정,https://www.ytn.co.kr/_ln/0103_202105051220205912
2021.05.04.,"美 백악관, 코로나19 백신 수출 사실상 승인",MBC언론사 선정,https://imnews.imbc.com/replay/2021/nw1200/article/6168401_34908.html
2021.05.05.,오늘부터 코로나19 백신접종 완료자 자가격리 면제 가능,KBS,https://news.kbs.co.kr/news/view.do?ncd=5178403&ref=A
2021.05.05.,코로나 변이·백신 거부에… 전문가 “美 집단면역 힘들 것”,서울신문언론사 선정,https://www.seoul.co.kr/news/newsView.php?id=20210505012002&wlog_tag3=naver
2021.05.06.,"모더나도 1분기 '역대급' 실적, 코로나19 백신 덕분",한국일보,https://hankookilbo.com/News/Read/A2021050621370002326?did=NA
2021.05.06.,"화이자, 이달 말부터 도쿄올림픽 선수단에 코로나19 백신 기부",한국일보,https://hankookilbo.com/News/Read/A2021050620310001760?did=NA
2021.05.04.,삼키는 알약·코에 뿌리는 분무 형태 코로나19 백신 나온다,한국경제언론사 선정,https://www.hankyung.com/international/article/2021050354997
2021.05.05.,"화이자, 코로나 백신 순익만 1조원 챙겼다",한국경제,https://www.hankyung.com/international/article/2021050513001
2021.05.06.,"WTO, 코로나19 백신 지식재산권 면제 논의 ""매우 건설적""",YTN,https://www.ytn.co.kr/_ln/0104_202105061700465926
2021.05.06.,"WTO, 코로나19 백신 지식재산권 면제 논의 ""매우 건설적""",YTN,https://www.ytn.co.kr/_ln/0104_202105061700465926
2021.05.04.,"미얀마 시민들 ""중국 백신 맞느니 코로나 걸리겠다""",YTN언론사 선정,https://www.ytn.co.kr/_ln/0104_202105041430017313
2021.05.05.,"美 7월 4일 '코로나 독립선언' 차질?... 바이든, 백신 접종 총력전 선언",한국일보,https://hankookilbo.com/News/Read/A2021050510160005383?did=NA
2021.05.04.,"백악관, 코로나19 백신 수출 사실상 승인…""다른 나라 도와 기뻐""",MBC언론사 선정,https://imnews.imbc.com/news/2021/world/article/6168362_34880.html
2021.05.06.,"G7 외교장관 ""코로나19 백신 생산 확대 위해 협력할 것""",YTN,https://www.ytn.co.kr/_ln/0104_202105060407340996
2021.05.06.,"미 ""코로나 백신 지재권 면제 지지""...공급 확대 길 열리나",YTN,https://www.ytn.co.kr/_ln/0104_202105060852374634
2021.05.06.,"美 ""코로나 백신 지식재산권 면제 지지""...공급 확대 길 열리나?",YTN,https://www.ytn.co.kr/_ln/0104_202105061131526631
2021.05.05.,"[속보] ""코로나 백신 맞겠다""는 국민, 한달새 6.6%P줄었다",중앙일보,https://news.joins.com/article/olink/23645229
2021.05.05.,"""EU 인구 4분의 1 코로나19 백신 최소 1회 접종""",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006308210&plink=ORI&cooper=NAVER
2021.05.05.,"화이자 백신 공동개발자 “코로나, 내년 중반까지는 계속 확산”",조선일보,https://www.chosun.com/international/international_general/2021/05/05/44J46XAC7NCVLK6KEUVRTQY55I/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
2021.05.06.,코로나19 백신 1차 접종자 356만여 명…32만여 명은 2차까지 마쳐,KBS,https://news.kbs.co.kr/news/view.do?ncd=5179407&ref=A
2021.05.05.,울산 2분기 코로나19 백신 접종 60~74세로 확대,KBS,https://news.kbs.co.kr/news/view.do?ncd=5178390&ref=A
2021.05.06.,"""7월 4일은 코로나 독립일""…백신 지재권은 '머뭇'",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006308250&plink=ORI&cooper=NAVER
2021.05.06.,"바이든 ""코로나19 백신 지식재산권 면제 찬성""｜아침& 지금",JTBC,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12003171
2021.05.06.,[와이즈맨] 코로나 백신 여권만 있으면 진짜 해외여행 갈 수 있는 거 맞아?,YTN,https://www.ytn.co.kr/_ln/0134_202105061700013872
2021.05.06.,[와이즈맨] 코로나 백신 여권만 있으면 진짜 해외여행 갈 수 있는 거 맞아?,YTN,https://www.ytn.co.kr/_ln/0134_202105061700013872
2021.05.05.,"RFA ""북한, 코로나19 백신 도입 위한 사전 준비 진행""",YTN,https://www.ytn.co.kr/_ln/0101_202105051051553464
2021.05.06.,"[속보] 정의용, G7에 공평한 코로나 백신 접근 위한 국제공조 촉구",서울신문,https://www.seoul.co.kr/news/newsView.php?id=20210506500012&wlog_tag3=naver
2021.05.05.,“미국 7월4일까지 성인 70% 백신 1회 이상 맞게 할 것…두 달 뒤엔 코로나 독립 축하”,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105052102015&code=970201
2021.05.05.,울산 2분기 코로나19 백신 접종 60~74세로 확대,KBS,https://news.kbs.co.kr/news/view.do?ncd=5178562&ref=A
2021.05.05.,울산 2분기 코로나19 백신 접종 60~74세로 확대,KBS,https://news.kbs.co.kr/news/view.do?ncd=5178562&ref=A
2021.05.06.,"삼천당제약 ""먹는 코로나 백신, CEPI에 임상비용 지원 신청""",한국경제,https://www.hankyung.com/it/article/202105063004i
2021.05.06.,"삼천당제약 ""먹는 코로나 백신, CEPI에 임상비용 지원 신청""",한국경제,https://www.hankyung.com/it/article/202105063004i
2021.05.04.,"화이자 ""올해 코로나19 백신 매출 29조원 전망""",경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105042135001&code=970100
2021.05.04.,"충남도, 인공지능으로 코로나19 백신접종 모니터링",KBS,https://news.kbs.co.kr/news/view.do?ncd=5178306&ref=A
2021.05.06.,"화성시, 내달 3일까지 고령층과 유치원.초등저학년 교사 대상 '코로나19 백신접종 사전예약제' 실시",한국경제,https://www.hankyung.com/society/article/202105064057h
2021.05.05.,"독일, 코로나 백신 접종자 야간통금·모임 제한 해제",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006307531&plink=ORI&cooper=NAVER
2021.05.06.,"코로나, 독감처럼 토착화되나... 정은경 ""백신으로 근절할 수 없다""",한국일보,https://hankookilbo.com/News/Read/A2021050617260002194?did=NA
2021.05.04.,"고양시,코로나19 백신 접종 긴장감 음악으로 풀어준다",중앙일보,https://news.joins.com/article/olink/23644601
2021.05.05.,USTR 대표 “코로나 백신 불균형 해소해야 경제 회복”,KBS,https://news.kbs.co.kr/news/view.do?ncd=5178746&ref=A
2021.05.05.,시민안전보험 개선…코로나 백신 부작용 등 34개 항목 기준 마련,KBS,https://news.kbs.co.kr/news/view.do?ncd=5178842&ref=A
2021.05.05.,"멀어지는 '집단면역'… 코로나, 백신보다 변이가 빨랐다",한국일보언론사 선정,https://hankookilbo.com/News/Read/A2021050410080002686?did=NA
2021.05.05.,"""7월 4일은 코로나 독립일""…미, 백신 지재권은 머뭇",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006308181&plink=ORI&cooper=NAVER
2021.05.05.,"""7월 4일은 코로나 독립일""…미, 백신 지재권은 머뭇",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006308181&plink=ORI&cooper=NAVER
2021.05.04.,60~74세 코로나19 백신 예약·접종기간 확인하세요,경향신문,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202105041840001&code=940100
